"","id","nombre"
"1","domingo","Luis Domingo Martínez Vázquez"
"2","lópez","Jazmín López Chacón"
"3","guadalupe","Sofia Guadalupe Salazar Magaña"
"4","maria","MSc. Maria Fernanda Miron Toruno"
"5","schafer","Alejandra Schafer"
"6","shaday","Dr. Shaday Guerrero Flores"
"7","aguilar","Israel Aguilar Ordoñez"
"8","ramírez","Obed Ramírez Sánchez"
"9","haydeé","Adriana Haydeé Contreras Peruyero"
"10","josé","María José Palma Martínez (Maestría)"
"11","zorrilla","Sofía Zorrilla Azcué"
"12","maríasegovia","María Guadalupe Segovia Ramírez, PhD"
"13","aline","Dra. Aline Pingarroni"
"14","cristina","Joselyn Cristina Chávez Fuentes"
"15","valle","David Valle García"
"16","quetzally","L. Quetzally Medina Velázquez"
"17","itzel","Johana Itzel Ramos Galguera "
"18","edgar","M.C. Edgar Pavel Salazar Fernández"
"19","santiago","Olmo Santiago Rosas Plaza "
"20","ortiz","Emilio Ortiz Avila"
